episode_id;episode_season;episode_original_air_date;episode_imdb_rating;episode_imdb_votes;episode_us_viewers_in_millions;episode_views
10;Homer's Night Out;1990-03-25;7.4;1511.0;30.3;50816.0
12;Krusty Gets Busted;1990-04-29;8.3;1716.0;30.4;62561.0
14;"Bart Gets an ""F""";1990-10-11;8.2;1638.0;33.6;59575.0
17;Two Cars in Every Garage and Three Eyes on Every Fish;1990-11-01;8.1;1457.0;26.1;64959.0
19;Dead Putting Society;1990-11-15;8.0;1366.0;25.4;50691.0
21;Bart the Daredevil;1990-12-06;8.4;1522.0;26.2;57605.0
23;Bart Gets Hit by a Car;1991-01-10;7.8;1340.0;24.8;56486.0
26;Homer vs. Lisa and the 8th Commandment;1991-02-07;8.0;1329.0;26.2;58277.0
28;Oh Brother, Where Art Thou?;1991-02-21;8.2;1413.0;26.8;47426.0
30;Old Money;1991-03-28;7.6;1243.0;21.2;44331.0
32;Lisa's Substitute;1991-04-25;8.5;1684.0;17.7;52770.0
35;Blood Feud;1991-07-11;8.0;1223.0;17.3;52829.0
37;Mr. Lisa Goes to Washington;1991-09-26;7.7;1274.0;20.2;52098.0
39;Bart the Murderer;1991-10-10;8.7;1446.0;20.8;64342.0
41;Like Father, Like Clown;1991-10-24;7.7;1262.0;20.2;45586.0
44;Saturdays of Thunder;1991-11-14;7.9;1194.0;24.7;55808.0
46;Burns Verkaufen der Kraftwerk;1991-12-05;8.2;1291.0;21.1;55987.0
48;Radio Bart;1992-01-09;8.5;1365.0;24.2;58919.0
51;Bart the Lover;1992-02-13;8.3;1272.0;20.5;53123.0
53;Separate Vocations;1992-02-27;8.2;1201.0;23.7;61508.0
55;Colonel Homer;1992-03-26;7.9;1233.0;25.5;46901.0
58;Bart's Friend Falls in Love;1992-05-07;7.8;1160.0;19.5;48058.0
60;Kamp Krusty;1992-09-24;8.4;1414.0;21.8;67081.0
65;Itchy & Scratchy: The Movie;1992-11-03;8.2;1293.0;20.1;55740.0
69;Lisa's First Word;1992-12-03;8.5;1350.0;28.6;62070.0
72;Selma's Choice;1993-01-21;8.0;1153.0;24.5;56396.0
7;The Call of the Simpsons;1990-02-18;7.9;1638.0;27.6;57793.0
24;One Fish, Two Fish, Blowfish, Blue Fish;1991-01-24;8.8;1687.0;24.2;50206.0
80;Marge in Chains;1993-05-06;7.7;1080.0;17.3;68692.0
82;Homer's Barbershop Quartet;1993-09-30;8.4;1416.0;19.9;58390.0
84;Homer Goes to College;1993-10-14;8.6;1476.0;18.1;64802.0
87;Marge on the Lam;1993-11-04;8.0;1132.0;21.7;53490.0
89;Boy-Scoutz 'n the Hood;1993-11-18;8.7;1270.0;20.1;83238.0
92;Homer the Vigilante;1994-01-06;8.2;1202.0;20.1;74673.0
93;Bart Gets Famous;1994-02-03;8.1;1123.0;20.0;66267.0
95;Lisa vs. Malibu Stacy;1994-02-17;8.2;1187.0;20.5;61715.0
98;Bart Gets an Elephant;1994-03-31;7.9;1116.0;17.0;63427.0
102;Lady Bouvier's Lover;1994-05-12;7.5;1014.0;15.1;59503.0
104;Bart of Darkness;1994-09-04;8.6;1330.0;15.1;65126.0
107;Itchy & Scratchy Land;1994-10-02;8.5;1277.0;14.8;72722.0
111;Lisa on Ice;1994-11-13;8.4;1236.0;17.9;63564.0
114;Fear of Flying;1994-12-18;7.8;1100.0;15.6;61569.0
116;And Maggie Makes Three;1995-01-22;8.5;1284.0;17.3;63051.0
118;Homie the Clown;1995-02-12;8.5;1254.0;17.6;73123.0
120;Homer vs. Patty and Selma;1995-02-26;7.9;1006.0;18.9;60599.0
123;Two Dozen and One Greyhounds;1995-04-09;8.1;1051.0;11.6;62323.0
125;'Round Springfield;1995-04-30;8.3;1084.0;12.6;56001.0
127;Lemon of Troy;1995-05-14;8.6;1285.0;13.1;70698.0
130;Radioactive Man;1995-09-24;8.3;1172.0;15.7;62390.0
132;Bart Sells His Soul;1995-10-08;8.7;1354.0;14.8;65333.0
134;Treehouse of Horror VI;1995-10-29;8.5;1304.0;19.7;110342.0
139;Marge Be Not Proud;1995-12-17;8.3;1146.0;16.7;68970.0
140;Team Homer;1996-01-07;8.3;1064.0;16.7;72268.0
143;Bart the Fink;1996-02-11;7.7;954.0;15.0;71230.0
67;New Kid on the Block;1992-11-12;8.2;1240.0;23.1;54557.0
149;22 Short Films About Springfield;1996-04-14;8.8;1393.0;10.5;66536.0
151;Much Apu About Nothing;1996-05-05;8.0;995.0;11.3;75618.0
153;Summer of 4 Ft. 2;1996-05-19;8.3;1119.0;14.7;65847.0
157;Burns, Baby Burns;1996-11-17;7.7;1079.0;12.6;55497.0
160;Lisa's Date with Density;1996-12-15;7.8;1005.0;;60912.0
163;The Springfield Files;1997-01-12;9.0;1793.0;20.9;69555.0
164;The Twisted World of Marge Simpson;1997-01-19;7.8;998.0;14.0;71813.0
167;The Itchy & Scratchy & Poochie Show;1997-02-09;7.9;1079.0;15.5;58581.0
168;Homer's Phobia;1997-02-16;8.9;1666.0;15.3;63355.0
171;Homer vs. the Eighteenth Amendment;1997-03-16;8.7;1330.0;14.6;83561.0
173;The Canine Mutiny;1997-04-13;7.7;913.0;;54155.0
175;In Marge We Trust;1997-04-27;8.0;973.0;16.9;59088.0
178;The Secret War of Lisa Simpson;1997-05-18;7.8;967.0;12.7;59196.0
180;The Principal and the Pauper;1997-09-28;7.4;1158.0;14.9;48414.0
184;Bart Star;1997-11-09;7.7;925.0;10.6;31033.0
186;Lisa the Skeptic;1997-11-23;8.0;978.0;9.3;22318.0
189;All Singing, All Dancing;1998-01-04;5.1;1119.0;8.9;15780.0
191;The Joy of Sect;1998-02-08;8.2;1042.0;9.4;27710.0
196;This Little Wiggy;1998-03-22;7.8;906.0;8.9;20739.0
198;The Trouble with Trillions;1998-04-05;7.9;949.0;7.4;23426.0
200;Trash of the Titans;1998-04-26;8.5;1108.0;10.2;26299.0
203;Natural Born Kissers;1998-05-17;8.1;931.0;8.6;53823.0
205;The Wizard of Evergreen Terrace;1998-09-20;8.2;988.0;7.95;53216.0
207;Treehouse of Horror IX;1998-10-25;8.0;1013.0;8.5;83169.0
212;Mayored to the Mob;1998-12-20;8.2;975.0;8.5;56762.0
214;Wild Barts Can't Be Broken;1999-01-17;7.7;834.0;8.8;57693.0
219;Make Room for Lisa;1999-02-28;7.5;795.0;7.6;53449.0
222;Mom and Pop Art;1999-04-11;7.6;831.0;8.5;47851.0
224;Monty Can't Buy Me Love;1999-05-02;7.2;789.0;7.26;44242.0
226;Thirty Minutes over Tokyo;1999-05-16;7.9;964.0;8.0;55947.0
229;Guess Who's Coming to Criticize Dinner?;1999-10-24;7.5;797.0;6.7;46141.0
231;E-I-E-I-(Annoyed Grunt);1999-11-07;7.6;817.0;8.4;51431.0
233;Eight Misbehavin';1999-11-21;7.1;747.0;9.2;40465.0
238;The Mansion Family;2000-01-23;7.3;747.0;11.3;43949.0
240;Alone Again, Natura-diddily;2000-02-13;7.9;887.0;10.8;47392.0
242;Pygmoelian;2000-02-27;7.3;755.0;9.4;52891.0
245;Kill the Alligator and Run;2000-04-30;6.6;805.0;7.46;52176.0
247;It's a Mad, Mad, Mad, Mad Marge;2000-05-14;7.3;737.0;7.5;54146.0
249;Treehouse of Horror XI;2000-11-01;7.6;829.0;13.2;77719.0
251;Insane Clown Poppy;2000-11-12;7.1;733.0;16.4;40443.0
254;The Computer Wore Menace Shoes;2000-12-03;7.7;782.0;15.6;51100.0
258;Pokey Mom;2001-01-14;7.3;760.0;15.0;51024.0
261;Day of the Jackanapes;2001-02-18;7.2;668.0;15.4;49986.0
263;Hungry, Hungry Homer;2001-03-04;7.4;731.0;17.6;49811.0
